FEEDSTUFF,Edible_Mass,Total_Protein,Total_Energy_Lactating,Total_Energy_Gain,Total_Energy_Maintenance,Total_Fiber,EE,ASH,Ca,P,K,Cl,S,Zn ppm,Cattle,Sheep,Goat,Rabbit,Horse,Fish,Poultry
ALFALFA CUBES,0.91,0.4368,1.0886999999999998,0.7975,1.0886999999999998,1.3741,0.0182,0.10010000000000001,0.011830000000000002,0.0020930000000000002,0.01729,0.3276,0.3276,0.18200000000000002,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ALFALFA DEHYDRATED 17% CP,0.92,0.7268000000000001,1.1712,0.8952,1.1804000000000001,1.0212,0.0276,0.1012,0.013064,0.0023,0.023000000000000003,0.3128,0.3128,0.1932,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA FRESH,0.24,0.08879999999999999,0.7564,0.6844,0.7587999999999999,0.35519999999999996,0.0072,0.021599999999999998,0.0032400000000000003,0.000648,0.00624,0.0816,0.0816,0.043199999999999995,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALFALFA HAY EARLY BLOOM,0.9,0.35100000000000003,1.121,0.8420000000000001,1.121,1.8,0.022500000000000003,0.07200000000000001,0.01269,0.00234,0.022500000000000003,0.315,0.315,0.198,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA HAY MIDBLOOM,0.89,0.35600000000000004,1.0962,0.8114,1.0962,1.8244999999999998,0.02047,0.0801,0.012459999999999999,0.002136,0.0178,0.3204,0.3204,0.21359999999999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA HAY FULL BLOOM,0.88,0.36079999999999995,1.0152,0.7160000000000001,1.0152,1.9184,0.0176,0.0704,0.01056,0.002024,0.014960000000000001,0.35200000000000004,0.35200000000000004,0.2024,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA HAY MATURE,0.88,0.3784,0.9312,0.6056,0.94,2.0591999999999997,0.01144,0.0704,0.010384,0.001672,0.0132,0.396,0.396,0.2024,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA SEED SCREENINGS,0.91,0.3094,1.6317,1.3951,1.6772,0.2548,0.09737,0.0546,0.0027300000000000002,0.006097,0.0,0.1365,0.1365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ALFALFA SILAGE,0.3,0.111,0.7150000000000001,0.613,0.7150000000000001,0.588,0.009,0.027,0.0042,0.0008699999999999999,0.0078000000000000005,0.111,0.111,0.078,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA SILAGE WILTED,0.39,0.15600000000000003,0.8061999999999999,0.6814,0.8061999999999999,0.7644,0.0117,0.0351,0.00546,0.001131,0.010140000000000001,0.1443,0.1443,0.1014,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA LEAF MEAL,0.89,0.3649,1.134,0.867,1.134,0.9701000000000001,0.026699999999999998,0.08900000000000001,0.025632,0.0030260000000000005,0.019580000000000004,0.21359999999999998,0.21359999999999998,0.3471,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ALFALFA STEMS,0.89,0.48950000000000005,0.8794,0.5323,0.8883,2.3407,0.01157,0.053399999999999996,0.008010000000000001,0.001602,0.022250000000000002,0.4539,0.4539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMOND HULLS,0.89,0.5607,1.0584000000000002,0.7647,1.0584000000000002,1.6109,0.02759,0.06230000000000001,0.002136,0.0008900000000000001,0.0178,0.2581,0.2581,0.17800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APPLES,0.17,0.0221,0.8207,0.7747999999999999,0.8240999999999999,0.08670000000000001,0.0037400000000000007,0.0034000000000000002,0.000102,0.00102,0.00136,0.015300000000000001,0.015300000000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
APPLE POMACE WET,0.2,0.03,0.8180000000000001,0.762,0.8200000000000001,0.21600000000000003,0.010400000000000001,0.006,0.00026,0.00023999999999999998,0.001,0.054000000000000006,0.054000000000000006,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0
APPLE POMACE DRIED,0.89,0.17800000000000002,1.2752000000000001,1.026,1.2841,1.0056999999999998,0.04628,0.026699999999999998,0.001157,0.001068,0.00445,0.24920000000000003,0.24920000000000003,0.0979,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ARTICHOKE TOPS (JERUSALEM),0.27,0.0162,0.7746999999999999,0.6937,0.7774,0.34830000000000005,0.0029700000000000004,0.027000000000000003,0.004374000000000001,0.00029700000000000006,0.00378,0.081,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
AVOCADO SEED MEAL,0.91,0.18200000000000002,0.9841,0.6656,0.9932000000000001,0.3913,0.010920000000000001,0.1456,0.0,0.0,0.0,0.2184,0.2184,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BAHIAGRASS HAY,0.9,0.387,1.0070000000000001,0.6920000000000001,1.0070000000000001,2.1870000000000003,0.016200000000000003,0.06300000000000001,0.004229999999999999,0.0018000000000000002,0.012599999999999998,0.369,0.369,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BAKERY PRODUCT DRIED,0.9,0.369,1.746,1.512,1.8,0.378,0.10350000000000001,0.036000000000000004,0.00144,0.0024300000000000003,0.0036000000000000003,0.081,0.081,0.29700000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BANANAS,0.24,0.0096,1.0488,0.9863999999999999,1.0608,0.021599999999999998,0.00192,0.0072,7.199999999999999e-05,0.000264,0.0036,0.012,0.012,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,1.0
